,,,,,,,,,,,
 Arteriors Lights selection,,12, ,,,,,,,,
STATUS,MATERIAL,CATEGORY,QTY/ SIZE,LINK,RETAIL PRICE,Showroom pricing,ID,ETA,Column 1,Column 2,Column 3
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/ova-sconce-49826,$910.00,379.13,49826,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/jenner-sconce-dwc63,"$1,040.00",426.88,DWC63,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/prescott-sconce-42045,$700.00,247.88,42045,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/julius-sconce-49106,$845.00,379.13,49106,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/maisie-sconce-49842,"$1,265.00",528.75,49842,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/wembley-sconce-dwc11,$780.00,354.38,DWC11,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/emmett-sconce-49670,$675.00,294.38,49670,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/maser-sconce-dwc12,$910.00,125.7,DWC12,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/lane-sconce-49204,$650.00,274.5,49204,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/elyse-sconce-49686,$520.00,229.5,49686,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/kylie-sconce-dwc64,$845.00,354.38,DWC64,OK,,,
Arrived,Sconces,Lighting,1,https://www.arteriorshome.com/mercury-sconce-ds49002,$680.00,274.5,DS49002,OK,,,
Arrived,Chandeliers 1,Lighting,1,https://www.arteriorshome.com/baja-chandelier-45094,"$3,290.00",1353.75,45094,OK,,,
Arrived,Chandeliers 2,Lighting,1,https://www.arteriorshome.com/florko-chandelier-82001,"$2,550.00",967.88,82001,OK,,,
Arrived,Pendant 1,Lighting,1,https://www.arteriorshome.com/noble-pendant-49063,$845.00,354.38,49063,OK,,,
Arrived,Transitional Kitchen Sconce,Lighting,*2,https://www.arteriorshome.com/itzia-sconce-dwc69,"$1,235.00",518.63,DWC69,OK,624,,
Arrived, Men's Bathroom Sconce,Lighting,*3,https://www.arteriorshome.com/ozona-sconce-49815,"$1,690.00",648.38,49815,OK,1560,,
Arrived,Costal Kitchen ,Lighting,2,https://www.arteriorshome.com/josephine-chandelier-dms22,"$7,280.00",2618.26,DMS22,OK,283.92,freight,
Arrived,Sconce,Lighting,1,https://www.arteriorshome.com/gatsby-sconce-dwc49,,$0.00,DWC34,OK,,418,
Arrived,,Lighting,1,https://www.arteriorshome.com/dallas-medium-chandelier-89032,,$0.00,89032,OK,,2.386,
,,,,,,$0.00,,,329.16,freight,
,,Lighting,1,SUB TOTAL:,"$26,710.00","$10,330.39",,,,,
,,,,,,,,,,,
 Hinkley Lights selection,,20, ,,,,,,,,
STATUS,MATERIAL,CATEGORY,QTY/ SIZE,LINK,PRICE,FINISH,ID,ETA,Column 1,,
Arrived,Sconces 1,Lighting,1,https://www.hinkley.com/23014bk.html?queryID=9f0199120b355433e44fb866c6227419&objectID=61786&indexName=production_default_products,$349.00,$209.40,23014BK,,,,
Arrived,Sconces 2,Lighting,1,https://www.hinkley.com/5170pn.html,$189.00,$113.40,5170PN,,,,
Arrived,Sconces 3,Lighting,1,https://www.hinkley.com/57020bk-ll.html,$129.00,$77.40,57020BK-LL,,,,
Arrived,Sconces 4,Lighting,1,https://www.hinkley.com/47730lcb.html,$339.00,$203.40,47730LCB,,,,
Arrived,Sconces 5,Lighting,1,https://www.hinkley.com/13594bk-ll.html?queryID=3eb4e808dc8cb5ad95f8580fa47ae900&objectID=52069&indexName=production_default_products,$219.00,$131.40,13594BK-LL,x5,,,
Arrived,Sconces 6,Lighting,1,https://www.hinkley.com/46950lcb.html?queryID=75c4a32fa7e1716f4047f03ef3a88693&objectID=195259&indexName=production_default_products,$159.00,$95.40,46950LCB,x2,,,
Arrived,Sconces 7,Lighting,1,https://www.hinkley.com/38250pn.html?queryID=f88fd1f959fb19a4222541a738eb0599&objectID=195337&indexName=production_default_products,$279.00,$167.40,38250PN,,,,
Arrived,Sconces 8,Lighting,1,https://www.hinkley.com/28975hb.html?queryID=6427c2fc67818acf6a209d25a625465f&objectID=195277&indexName=production_default_products,$479.00,$287.40,28975HB,,,,
Arrived,Sconces 9,Lighting,1,https://www.hinkley.com/52960pn-ll.html,$299.00,$179.40,52960PN-LL,,,,
Arrived,Chandelier 1,Lighting,1,https://www.hinkley.com/30309hbr.html?queryID=fdc4678f7e36ff5c0678734f40b45df7&objectID=189078&indexName=production_default_products,"$2,699.00","$1,619.40",30309HBR,,,,
Arrived,Chandelier 2,Lighting,1,https://www.hinkley.com/fr41934dg.html?queryID=c2685edb9bf9cd52a6e1ad9061a553db&objectID=195412&indexName=production_default_products,"$1,699.00","$1,019.40",FR41934DG,,,,
Arrived,Modern Farmhouse Kitchen 1,Lighting,1,https://www.hinkley.com/fr30208bng.html?queryID=2cb59a1e463316d628cd0e8704005e4e&objectID=52459&indexName=production_default_products,"$3,958.80","$2,375.28",FR30705BLK,,,,
Arrived,Transitional Electric Kitchen,Lighting,1,https://www.hinkley.com/fr46406blk.html?queryID=5c1cc0372b86088de6f50967960d0346&objectID=18116&indexName=production_default_products,"$2,098.80","$1,259.28",FR46406BLK,,,,
Arrived,Mid-Century Modern,Lighting,2,https://www.hinkley.com/32377hb.html?queryID=1abae46b2b7effa724eec0a45ec131d7&objectID=52159&indexName=production_default_products,$478.00,$286.80,32377HB,x2,,,
Arrived,Spot Light ,Lighting,3,https://www.hinkley.com/1536mz.html?queryID=2c36a512877f774f9a5f99b1a1c0cd65&objectID=6672&indexName=production_default_products,$357.00,$214.20,1536MZ,x3,,,
Arrived,Scone Main Stairs,Lighting,2,https://www.hinkley.com/1648sk-led.html?queryID=a7a160d5db0a65765d701e36164f8049&objectID=6343&indexName=production_default_products,"$1,006.00",$603.60,1648SK,,,,
Arrived,Small Up/Down Wall Mount Lantern,Lighting,3,https://www.hinkley.com/13594bk-ll.html?queryID=f3c6697dabb0a7716b749e1f76209f6e&objectID=52069&indexName=production_default_products,$789.00,$473.40,13594BK-LL,x3,,,
Arrived,sconce back stair way 1,Lighting,3,https://www.hinkley.com/fr34310hbr.html?queryID=e931a526d830efb09e85e13f8d0c0ac7&objectID=11838&indexName=production_default_products,$714.00,$428.40,FR34310HBR,,,,
Arrived,sconce back stair way 2,Lighting,2,https://www.hinkley.com/2815bk.html?queryID=890eb1ea921e506890902dc297a70896&objectID=13502&indexName=production_default_products,"$1,198.00",$718.80,2815BK,,,,
Arrived,Chandelier 3,Lighting,1,https://www.hinkley.com/46897hb.html,$469.00,$281.40,46897HB,,47094PL,,
,,Lighting,1,SUB TOTAL:,"$17,907.60","$10,744.56","$6,446.74",,,,
,,,,,,,,,,,
 Ave Lights selection,,10, ,,,,,,,,
STATUS,MATERIAL,CATEGORY,QTY/ SIZE,LINK,PRICE,FINISH,ID,ETA,,,
Arrived,Pendant 1 ,Lighting,1,HF7900-AB,,$202.00,HF7900-AB,,,,
Arrived,Woman's Diaper Room Pendant,Lighting,1,HF4201-BK-WHT,,$170.00,HF4201-BK-WHT,,,,
Arrived,Pendant 3,Lighting,1,HF1701-PN,,"$1,099.00",HF1701-PN,,,,
Arrived,Sconce 1,Lighting,1,AV4916-BK-5CCT,,$89.00,AV4916-BK-5CCT,,,,
Arrived,Sconce 2,Lighting,1,HF3012-BB-SNW,,$241.00,HF3012-BB-SNW,,,,
Arrived,Sconce 3,Lighting,1,HF2951-AB,,$149.00,HF2951-AB,,,,
Arrived,Sconce 4,Lighting,1,HF5099-HPN,,$352.00,HF5099-HPN,,,,
