MATERIAL ,DESCRIPTION ,COLORS (OPTIONAL),FORMAT / STYLE ,LINK ,VENDOR ,,OPTIONAL TILE TO USE - NO VENDOR LINKS - NAMES AND TILE TYPES ONLY 
MARBLE ,ROSE BRASS MOSIAC TILE ,,,https://www.tileclub.com/products/black-rose-brass-and-marble-waterjet-mosaic-tile,TILE CLUB ,,
CERAMIC ,ROWENA IMPASTO CREAM MURAL ,,,https://www.tileclub.com/products/rowena-impasto-cream-mural-ceramic-tile18x48,TILE CLUB ,,
PORCELIN ,KASAI MAPLE SAKURA ,,,https://www.tileclub.com/products/kasai-maple-sakura-10x60-rectified-porcelain-tile,TILE CLUB ,,
CERAMIC ,BRIO SAGE DOT 3D ,ALL COLORS,,https://www.tileclub.com/products/brio-sage-dot-3d-ceramic-subway-tile,TILE CLUB ,,
PORCELIN ,BOLDARA MARBEL ,VERDE / ROSSO / BLUE ,,https://www.tileclub.com/products/boldara-verde-marble-look-porcelain-tile-24x48,TILE CLUB ,,
CERAMIC ,BALDWIN GREEN TEXTURED KIT KAT ,ALL COLORS,,https://www.tileclub.com/products/baldwin-green-kit-kat-ceramic-tile,TILE CLUB ,,
MARBLE ,PICTORIA ECLIPSE ROSE ,ALL COLORS,,https://www.tileclub.com/products/pictoria-eclipse-rose-waterjet-mosaic-tile,TILE CLUB ,,
PORCELIN ,STRUKTURA BLUE DIMESIONAL ,ALL COLORS,,https://www.tileclub.com/products/struktura-blue-dimensional-porcelain-tile,TILE CLUB ,,
PORCELIN ,KYOTO IMPASTO MURAL ,,,https://www.tileclub.com/products/kyoto-impasto-mural-wall-tile,TILE CLUB ,,
CERAMIC ,CAYO SKY CRACKLE ,ALL COLORS,,https://www.tileclub.com/products/cayo-sky-crackle-ceramic-subway-tile,TILE CLUB ,,
PORCELIN ,MARAMATTO ,ALL COLORS,,https://www.tileclub.com/products/marmatto-green-porcelain-subway-tile-3x24,TILE CLUB ,,
CERAMIC ,GRAZIOSO ORBIT ,ALL COLORS,,https://www.tileclub.com/products/grazioso-white-orbit-ceramic-tile-16x48,TILE CLUB ,,
PORCELIN ,EMPORIO JADE CRYSTAL-LOOK ,ALL COLORS,,https://www.tileclub.com/products/emporio-jade-crystal-look-porcelain-tile-crosscut-24x48,TILE CLUB ,,
PORCELIN ,LUMINOSA MATTE ,ALL COLORS,,https://www.tileclub.com/products/luminosa-sunset-matte-large-format-porcelain-tile-24x48,TILE CLUB ,,
CERAMIC ,GRAZIOSO GINGKO ,ALL COLORS,,https://www.tileclub.com/products/grazioso-gingko-ceramic-tile,TILE CLUB ,,
CERAMIC ,GRAZIOSO ETHEREAL ,,,https://www.tileclub.com/products/grazioso-ethereal-ceramic-tile,TILE CLUB ,,
PORCELIN ,SAN CLEMENTE DOTS ,ALL COLORS,,https://www.tileclub.com/products/san-clemente-coffee-dots-8-78-x-8-78-porcelain-tile,TILE CLUB ,,
PORCELIN ,CIRCUIT FUTURISTIC ,ALL COLORS,,https://www.tileclub.com/products/circuit-oxido-futuristic-porcelain-tile,TILE CLUB ,,
PORCELIN ,SAN CLEMENTE STAR ,ALL COLORS,,https://www.tileclub.com/products/san-clemente-white-star-8-78-x-8-78-porcelain-tile,TILE CLUB ,,
PORCELIN ,SULTANA  MEASH SIENNA ,ALL COLORS,,https://www.tileclub.com/products/sultana-mesh-sienna-porcelain-tile-13x13,TILE CLUB ,,
PORCELIN ,EMPORIO QUARTZ 2X2,ALL COLORS,,https://www.tileclub.com/products/emporio-quartz-blue-2x2-porcelain-mosaic,TILE CLUB ,,
CERAMIC ,GRAZIOSO ASTER ,,,https://www.tileclub.com/products/grazioso-aster-minimalist-white-porcelain-square-tile,TILE CLUB ,,
CERAMIC ,MOLTEN BRICK ,ALL COLORS,,https://www.tileclub.com/products/molten-gold-brick-ceramic-subway-tile,TILE CLUB ,,
CERAMIC ,PLUME FEATHER ,ALL COLORS,,https://www.tileclub.com/products/plume-cream-feather-ceramic-tile,TILE CLUB ,,
MARBLE ,ENVY GREEN AND THASSOS ,,,https://www.tileclub.com/products/envy-green-and-thassos-waterfall-marble-mosaic-tile,TILE CLUB ,,
MARBLE ,ENVY TRINITY ,,,https://www.tileclub.com/products/envy-trinity-green-marble-geometric-mosaic-tile,TILE CLUB ,,
NATURAL STONE ,CORAZZA ,,,https://www.tileclub.com/products/corazza-white-sand-shell-and-terrazzo-subway-tile,TILE CLUB ,,
MARBLE ,ENVY CHEVRON ,,,https://www.tileclub.com/products/envy-chevron-pearl-green-marble-and-shell-tile,TILE CLUB ,,
NATURAL STONE ,PRISM PEARL BEVELED DIAMOND ,,,https://www.tileclub.com/products/prism-pearl-beveled-diamond-glass-mosaic-tile,TILE CLUB ,,
GLASS,ILLUMINE SILVER DUST MERMAID SCALE ,,,https://www.tileclub.com/products/illumin-silver-dust-mermaid-scale,TILE CLUB ,,
MARBLE ,ENVY MARBLE AND SHELL MINI SCALE ,GREEN / ROSE / WOODEN / ,,,TILE CLUB ,,
NATURAL STONE ,CORAZZA WHITE SAND SHELL AND TERRAZZO HEXAGON TILE ,BLACK / SAND / TROPICAL ,,https://www.tileclub.com/products/corazza-white-sand-shell-and-terrazzo-hexagon-tile,TILE CLUB ,,
CERAMIC ,GRAZIOSO LIGHT CONCRETE DECO ,,,https://www.tileclub.com/products/grazioso-light-concrete-deco-ceramic-tile,TILE CLUB ,,
PORCELIN ,FORMIDUS DECO SQUARE ,SAND / EVERGREEN / SAGE / TAUPE ,,https://www.tileclub.com/products/formidus-sand-deco-square-8x8-porcelain-tile,TILE CLUB ,,
